,version,social,economic,technical
67,augmecon_social_eps402,542.9680397645577,4258.678496103274,213.96536733456477
68,augmecon_social_eps420,749.0132097796677,4215.106649625593,222.89165444504633
69,augmecon_social_eps421,749.0132097796851,4215.106649625592,219.9162254082191
70,augmecon_social_eps422,749.01320977967,4215.106649625593,216.94079637138947
71,augmecon_social_eps423,749.0132097796793,4215.106649625592,213.9653673345648
72,augmecon_social_eps424,749.0132097796916,4215.106649625591,210.9899382977377
73,augmecon_social_eps425,749.0132097796827,4215.106649625592,208.01450926091073
74,augmecon_social_eps426,749.0132097796932,4215.106649625591,205.0390802240835
75,augmecon_social_eps427,749.0132097797045,4215.106649625591,202.06365118725637
76,augmecon_social_eps428,749.0132097796946,4215.106649625591,199.08822215042932
77,augmecon_social_eps429,749.0132097797093,4215.10664962559,196.11279311360218
78,augmecon_social_eps430,749.0132097797192,4215.10664962559,193.1373640767751
79,augmecon_social_eps431,749.0132097797351,4215.106649625589,190.16193503994796
80,augmecon_social_eps432,749.0132097797244,4215.10664962559,187.18650600312077
81,augmecon_social_eps433,749.01320977973,4215.106649625589,184.21107696629383
82,augmecon_social_eps434,749.0132097797409,4215.106649625589,181.2356479294667
83,augmecon_social_eps435,749.0132097797525,4215.106649625588,178.26021889263953
84,augmecon_social_eps436,755.9449148239681,4215.106649625589,175.28478985581245
85,augmecon_social_eps437,767.7626913651142,4215.106649625589,172.30936081898545
86,augmecon_social_eps438,950.6444881543083,4215.106649625589,169.33393178215474
