,version,economic,technical
47,augmecon_social_eps143,11763.199936977773,181.44153773336143
48,augmecon_social_eps144,11763.199936977773,175.42204972507568
49,augmecon_social_eps145,11763.199936977773,169.40256171678993
50,augmecon_social_eps146,11763.199936977773,163.38307370850418
51,augmecon_social_eps154,11105.381140523066,241.63641781621888
52,augmecon_social_eps155,11105.381140523066,235.61692980793313
53,augmecon_social_eps156,11105.381140523066,229.59744179964738
54,augmecon_social_eps157,11105.381140523066,223.57795379136164
55,augmecon_social_eps158,11105.381140523066,217.5584657830759
56,augmecon_social_eps159,11105.381140523066,211.53897777479014
57,augmecon_social_eps160,11105.381140523066,205.5194897665044
58,augmecon_social_eps161,11105.381140523066,199.50000175821867
59,augmecon_social_eps162,11105.381140523066,193.48051374993292
60,augmecon_social_eps163,11105.381140523066,187.46102574164718
61,augmecon_social_eps164,11105.381140523066,181.44153773336143
62,augmecon_social_eps165,11105.381140523066,175.42204972507568
63,augmecon_social_eps166,11105.381140523066,169.40256171678993
64,augmecon_social_eps167,11105.381140523066,163.38307370850418
65,augmecon_social_eps177,10447.562344068361,229.59744179964738
66,augmecon_social_eps178,10447.562344068361,223.57795379136164
67,augmecon_social_eps179,10447.562344068361,217.5584657830759
68,augmecon_social_eps180,10447.562344068361,211.53897777479014
69,augmecon_social_eps181,10447.562344068361,205.5194897665044
70,augmecon_social_eps182,10447.562344068361,199.50000175821867
71,augmecon_social_eps183,10447.562344068361,193.48051374993292
72,augmecon_social_eps184,10447.562344068361,187.46102574164718
73,augmecon_social_eps185,10447.562344068361,181.44153773336143
74,augmecon_social_eps186,10447.562344068361,175.42204972507568
75,augmecon_social_eps187,10447.562344068361,169.40256171678993
76,augmecon_social_eps188,10447.562344068361,163.38307370850418
77,augmecon_social_eps196,9789.743547613656,241.63641781621888
78,augmecon_social_eps197,9789.743547613656,235.61692980793313
79,augmecon_social_eps198,9789.743547613656,229.59744179964738
80,augmecon_social_eps199,9789.743547613656,223.57795379136164
81,augmecon_social_eps200,9789.743547613656,217.5584657830759
82,augmecon_social_eps201,9789.743547613656,211.53897777479014
83,augmecon_social_eps202,9789.743547613656,205.5194897665044
84,augmecon_social_eps203,9789.743547613656,199.50000175821867
85,augmecon_social_eps206,9789.743547613656,181.44153773336143
86,augmecon_social_eps207,9789.743547613656,175.42204972507568
87,augmecon_social_eps209,9789.743547613656,163.38307370850418
88,augmecon_social_eps217,9131.92475115895,241.63641781621888
89,augmecon_social_eps218,9131.92475115895,235.61692980793313
90,augmecon_social_eps219,9131.92475115895,229.59744179964738
91,augmecon_social_eps220,9131.92475115895,223.57795379136164
92,augmecon_social_eps221,9131.92475115895,217.5584657830759
93,augmecon_social_eps222,9131.92475115895,211.53897777479014
94,augmecon_social_eps223,9131.92475115895,205.5194897665044
95,augmecon_social_eps224,9131.92475115895,199.50000175821867
96,augmecon_social_eps225,9131.92475115895,193.48051374993292
97,augmecon_social_eps226,9131.92475115895,187.46102574164718
98,augmecon_social_eps227,9131.92475115895,181.44153773336143
99,augmecon_social_eps228,9131.92475115895,175.42204972507568
100,augmecon_social_eps229,9131.92475115895,169.40256171678993
101,augmecon_social_eps230,9131.92475115895,163.38307370850418
102,augmecon_social_eps232,8474.105954704244,277.75334586593334
103,augmecon_social_eps233,8474.105954704244,271.7338578576476
104,augmecon_social_eps234,8474.105954704244,265.71436984936184
105,augmecon_social_eps237,8474.105954704244,247.6559058245046
106,augmecon_social_eps238,8474.105954704244,241.63641781621888
107,augmecon_social_eps239,8474.105954704244,235.61692980793313
108,augmecon_social_eps240,8474.105954704244,229.59744179964738
109,augmecon_social_eps241,8474.105954704244,223.57795379136164
