Once_DEPTIME,Once_ARRTIME,Twice_1st_DEPTIME,Twice_2nd_DEPTIME,Twice_1st_ARRTIME,Twice_2nd_ARRTIME,Three_1st_DEPTIME,Three _2nd_DEPTIME,Three_3rd_DEPTIME,Three_1st_ARRTIME,Three _2nd_ARRTIME,Three_3rd_ARRTIME
480,895,705,1035,650,1075,530,780,920,565,810,1020
620,950,1095,1110,695,975,645,825,1025,525,975,1275
1080,1062,800,850,445,1400,480,1090,1140,570,825,960
505,830,420,525,565,1045,680,900,960,980,1030,1155
600,1200,540,900,780,960,600,870,985,615,745,805
500,770,540,920,630,850,450,595,820,660,1010,1120
747,945,505,898,625,970,810,1065,1145,1070,1090,1154
600,870,540,1095,815,1030,585,660,1080,665,795,985
1060,750,555,840,950,1300,540,774,834,570,950,1215
630,645,615,840,680,1240,520,982,1070,1037,1165,1233
660,629,570,615,1105,1215,540,700,920,520,800,950
630,1195,880,1050,1125,1340,685,1140,1221,750,1100,1260
1060,705,660,1140,833,1135,520,550,1005,650,770,965
825,670,870,1020,510,560,650,735,925,635,710,1405
615,915,853,995,885,935,705,900,1090,900,963,1005
520,540,660,815,737,960,820,976,1085,535,825,1005
600,700,492,590,530,925,465,890,1080,735,1020,1160
1185,1185,580,950,735,1335,680,780,1120,695,925,1295
1110,1080,570,855,640,1055,510,900,1010,750,930,1125
960,1360,510,790,670,1095,600,750,1050,500,630,1410
660,1050,630,1290,755,990,420,780,1110,860,1107,1180
750,1060,630,920,610,687,510,535,790,645,960,1130
480,682,510,1078,980,1150,525,1150,1210,950,995,1052
825,1185,750,1080,890,1380,525,725,920,750,786,846
600,645,660,930,982,1060,480,770,1157,600,670,815
510,1085,600,1260,805,970,600,690,1000,555,1005,1085
495,1048,470,750,535,1130,450,810,1115,580,887,1085
1270,810,540,840,700,1005,510,995,1125,500,857,1256
900,1080,920,1200,625,1050,870,990,1135,1050,1156,1377
465,765,825,1060,695,970,920,1070,1190,545,560,1035
840,675,780,990,1260,1360,555,890,1060,712,782,950
840,1230,690,915,735,940,585,900,1200,760,935,1155
1130,780,480,900,525,1352,640,940,1110,510,950,1110
460,1225,645,1240,920,1100,990,1065,1260,780,990,1185
630,868,660,780,890,1060,510,750,817,535,930,1120
1120,705,570,885,790,995,510,800,1185,665,900,1565
400,580,520,930,883,1315,495,675,950,1115,1165,1225
540,1097,500,900,555,855,480,715,860,645,800,950
420,1226,290,1060,930,1155,675,880,1125,850,1013,1298
390,1350,410,1080,935,1080,925,1030,1360,655,970,1055
1110,977,665,1060,630,690,525,910,1035,470,900,1305
750,1005,635,1230,845,1025,500,870,925,765,1005,1365
540,856,555,1080,540,685,885,955,1010,565,1015,1160
840,1050,512,1048,840,1175,450,570,900,930,1015,1230
780,900,645,930,720,1030,510,990,1170,950,1095,1215
750,980,500,930,831,1175,510,930,990,660,930,1095
420,885,540,927,1175,1300,600,750,870,640,1035,1175
975,1125,840,1330,1090,1275,320,870,960,860,980,1225
450,960,820,910,1035,1110,535,560,945,930,980,1360
570,995,558,735,935,1160,465,750,950,1050,1155,1400
