,config,strategy,model,version,wait_time
128,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.5
129,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
130,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.25
131,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
132,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.0
133,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.0
134,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.25
135,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.0
136,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,4.5
137,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,13.75
138,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
139,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
140,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.0
141,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,7.0
142,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.75
143,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.25
144,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.5
145,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,0.25
146,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,11.25
147,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
148,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.25
149,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,11.0
150,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.5
151,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,6.75
152,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,9.25
153,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,15.75
154,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,1.75
155,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
156,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.5
157,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,5.75
158,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,12.5
159,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,29.0
160,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,7.5
161,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,17.75
162,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,11.25
163,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
164,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
165,Config 1,Opportunistic,Config 1 - Opportunistic Charging,norm_w_sum,
166,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,6.0
167,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
168,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,56.0
169,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,31.75
170,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,8.25
171,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
172,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
173,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
174,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,5.5
175,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
176,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,6.0
177,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,3.25
178,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
179,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
180,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
181,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,3.75
182,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.75
183,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,5.0
184,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.0
185,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,3.75
186,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
187,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
188,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,29.5
189,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,9.0
190,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
191,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,9.5
192,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.75
193,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,8.5
194,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
195,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
196,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
197,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,5.75
198,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
199,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,8.75
200,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
201,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,16.5
202,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
203,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
204,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,3.5
205,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
206,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
207,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
208,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,7.0
209,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.25
210,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,6.5
211,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.75
212,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,11.25
213,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,5.25
214,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
215,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
216,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,6.5
217,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.75
218,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,6.5
219,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.75
220,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,13.75
221,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
222,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
223,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.75
224,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,7.5
225,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,5.75
226,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
227,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,7.75
228,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
229,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.0
230,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
231,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,3.0
232,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,11.5
233,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.0
234,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,8.5
235,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
236,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,15.75
237,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.75
238,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
239,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,6.5
240,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,0.25
241,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,12.75
242,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,30.25
243,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,8.75
244,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,7.5
245,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,1.0
246,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
247,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
248,Config 1,Flexible,Config 1 - Flexible Charging,norm_w_sum,
249,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.0
250,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
251,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
252,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
253,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
254,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
255,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.0
256,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
257,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,1.25
258,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
259,Config 2,Uncoordinated,Config 2 - Uncoordinated Charging,norm_w_sum,0.25
