config,strategy,model,version,ev_id,arrival_time,charge_start_time,wait_time,soc_before_charging,config_num
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-21 17:15:00,2022-02-21 17:15:00,0.0,83.11463041720928,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-22 16:30:00,2022-02-22 16:30:00,0.0,80.10846189177163,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-23 18:00:00,2022-02-23 18:00:00,0.0,81.72157612501655,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-24 16:15:00,2022-02-24 16:15:00,0.0,86.52293216379412,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-25 16:15:00,2022-02-25 16:15:00,0.0,85.79022775613994,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-26 13:15:00,2022-02-26 13:15:00,0.0,80.49729954919457,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-26 16:00:00,2022-02-26 16:00:00,0.0,84.17311570058187,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,7,2022-02-27 11:30:00,2022-02-27 11:30:00,0.0,81.20616878478127,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-21 16:00:00,2022-02-21 16:00:00,0.0,45.148996619312975,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-22 12:30:00,2022-02-22 12:30:00,0.0,79.38872040594075,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-23 18:15:00,2022-02-23 18:15:00,0.0,87.09773854626056,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-24 15:30:00,2022-02-24 15:30:00,0.0,83.47180418567673,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-25 13:30:00,2022-02-25 13:30:00,0.0,82.54728707154322,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-26 11:30:00,2022-02-26 11:30:00,0.0,86.54271314538425,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-27 09:30:00,2022-02-27 09:30:00,0.0,86.20040233047322,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,8,2022-02-27 16:00:00,2022-02-27 16:00:00,0.0,86.67971811173761,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-21 17:30:00,2022-02-21 17:30:00,0.0,40.58545330593895,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-22 17:45:00,2022-02-22 17:45:00,0.0,65.11463266649245,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-23 11:15:00,2022-02-23 11:15:00,0.0,89.56050692553954,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-24 17:45:00,2022-02-24 17:45:00,0.0,88.56370668676836,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-25 15:15:00,2022-02-25 15:15:00,0.0,88.94599222567516,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-26 09:30:00,2022-02-26 09:30:00,0.0,87.35188320056491,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-26 16:00:00,2022-02-26 16:00:00,0.0,87.9323614807813,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-27 09:45:00,2022-02-27 09:45:00,0.0,87.31485209884069,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-27 16:00:00,2022-02-27 16:00:00,0.0,93.91565213079512,1
Configuration 1,Uncoordinated,Configuration 1 - Uncoordinated Charging,balanced,9,2022-02-27 23:15:00,2022-02-27 23:15:00,0.0,90.39275762263999,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,0,2022-02-21 18:00:00,2022-02-22 23:30:00,29.5,75.95043119054628,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,0,2022-02-22 16:00:00,2022-02-22 23:30:00,7.5,67.39966617182935,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,0,2022-02-23 16:00:00,2022-02-25 22:45:00,54.75,89.93279630498729,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,0,2022-02-24 16:15:00,2022-02-25 22:45:00,30.5,84.34099215434698,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,0,2022-02-25 15:45:00,2022-02-25 22:45:00,7.0,72.85948717902353,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,1,2022-02-21 18:30:00,2022-02-21 22:30:00,4.0,67.36804185389511,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,1,2022-02-22 18:15:00,2022-02-22 22:00:00,3.75,78.75747229414111,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,1,2022-02-23 18:00:00,2022-02-23 23:45:00,5.75,75.7338015639817,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,1,2022-02-24 17:15:00,2022-02-24 23:00:00,5.75,67.90436269857395,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,1,2022-02-25 16:15:00,2022-02-25 22:45:00,6.5,90.17574106882176,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,2,2022-02-21 20:15:00,2022-02-22 22:00:00,25.75,89.90366329409521,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,2,2022-02-22 19:15:00,2022-02-22 22:00:00,2.75,79.55353486819654,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,2,2022-02-23 19:00:00,2022-02-23 23:45:00,4.75,86.35746132038032,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,2,2022-02-24 23:45:00,2022-02-25 00:45:00,1.0,79.00242402754995,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,2,2022-02-25 19:00:00,2022-02-25 22:45:00,3.75,87.83887127891344,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-21 18:30:00,2022-02-21 22:30:00,4.0,85.05030445623967,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-22 15:00:00,2022-02-22 22:00:00,7.0,88.66825179837758,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-23 21:30:00,2022-02-23 23:45:00,2.25,84.53390879068506,1
Configuration 1,Opportunistic,Configuration 1 - Opportunistic Charging,balanced,3,2022-02-24 14:30:00,2022-02-24 22:15:00,7.75,86.22373569049266,1
